iter	MultiClass
0	1.085651012
1	1.070953513
2	1.060144058
3	1.050806931
4	1.036152068
5	1.026546472
6	1.014311617
7	1.003890463
8	0.9922239138
9	0.9834503182
10	0.973094329
11	0.9639572833
12	0.9506397947
13	0.943997484
14	0.9343377488
15	0.9240165088
16	0.9145917694
17	0.9049144776
18	0.8963482484
19	0.8862951297
20	0.877482476
21	0.8695330458
22	0.8611340524
23	0.8561293161
24	0.848028748
25	0.8401831587
26	0.8308135533
27	0.8229930352
28	0.8166223089
29	0.8089979141
30	0.8040235832
31	0.7978967168
32	0.790926652
33	0.784775639
34	0.7755695326
35	0.769584293
36	0.7641576775
37	0.7576202791
38	0.7505293216
39	0.7450179728
40	0.739394474
41	0.7311485192
42	0.7239079437
43	0.7163888181
44	0.7119453575
45	0.7054319001
46	0.6977829068
47	0.693523997
48	0.6880599659
49	0.6839831264
50	0.6767422585
51	0.6704992807
52	0.6642912636
53	0.6594240868
54	0.6543589959
55	0.6496905462
56	0.6446130711
57	0.6386835045
58	0.6341012621
59	0.6283413986
60	0.6238908607
61	0.6189391749
62	0.6114871442
63	0.6071447765
64	0.6021616344
65	0.5966603594
66	0.5918054532
67	0.5871869585
68	0.5835234042
69	0.5784928779
70	0.5727195577
71	0.5687501472
72	0.5646229899
73	0.5586844156
74	0.5530551552
75	0.5466992094
76	0.5420181197
77	0.536780618
78	0.5327302043
79	0.5277419427
80	0.5240351504
81	0.5198717971
82	0.5151139178
83	0.5111940462
84	0.5065919938
85	0.5025097815
86	0.4994237866
87	0.4936817347
88	0.4887819794
89	0.483757649
90	0.4791924299
91	0.4754583058
92	0.4723858389
93	0.4663566753
94	0.4611827061
95	0.4562760144
96	0.4510385076
97	0.4474492218
98	0.4429025372
99	0.4380473607
100	0.432668901
101	0.4295247311
102	0.426533926
103	0.4226871444
104	0.4197932766
105	0.4166399051
106	0.4126443173
107	0.4076878436
108	0.4035844401
109	0.4003431519
110	0.3972997266
111	0.3936537369
112	0.3885066442
113	0.3853929343
114	0.3814403509
115	0.377807271
116	0.3743384253
117	0.3718417018
118	0.3687153611
119	0.365398988
120	0.3619628823
121	0.358881367
122	0.3555355225
123	0.352068991
124	0.3493754856
125	0.3457996885
126	0.3435251273
127	0.3398136802
128	0.3372516446
129	0.3340844158
130	0.3316702685
131	0.3296401402
132	0.3268333777
133	0.3255462971
134	0.3235994771
135	0.3211559296
136	0.3188067466
137	0.3157219645
138	0.3131611105
139	0.3101214638
140	0.3074926936
141	0.3056133774
142	0.3032872917
143	0.3011163265
144	0.2981160204
145	0.296172606
146	0.2938969519
147	0.2914471847
148	0.2888221669
149	0.2857039575
150	0.2839145671
151	0.2815523549
152	0.2796070233
153	0.2772455516
154	0.2756325142
155	0.2731089705
156	0.2713148975
157	0.2687925369
158	0.2670805875
159	0.2653350582
160	0.2635574667
161	0.2618021289
162	0.2598506006
163	0.2577328807
164	0.2558506265
165	0.2536685433
166	0.2511182278
167	0.2496392612
168	0.247852359
169	0.2464289607
170	0.2446036231
171	0.2426517994
172	0.2410704599
173	0.2399609469
174	0.2387124464
175	0.236575386
176	0.2351569749
177	0.2334600872
178	0.2320768435
179	0.230478287
180	0.2288530132
181	0.2271965016
182	0.2256866215
183	0.2238572494
184	0.2220532263
185	0.220823348
186	0.2196651818
187	0.2182805897
188	0.21719862
189	0.2159796216
190	0.2143081438
191	0.2129411343
192	0.2113501389
193	0.209951175
194	0.208779849
195	0.2076381743
196	0.205858573
197	0.204473838
198	0.203205992
199	0.2019042241
200	0.20051502
201	0.1993909034
202	0.1979480606
203	0.1966596885
204	0.195460157
205	0.1944636719
206	0.1936033589
207	0.1923880794
208	0.1911191992
209	0.1901799917
210	0.1889412236
211	0.1879946408
212	0.1869233943
213	0.1859115527
214	0.1846889569
215	0.1835997289
216	0.1824328729
217	0.1815932488
218	0.1803034149
219	0.1792615194
220	0.1781870832
221	0.1774534185
222	0.1767450027
223	0.1758255936
224	0.1747776721
225	0.1737484014
226	0.1726082931
227	0.1719588802
228	0.1705525442
229	0.1695438979
230	0.1684684561
231	0.1677596581
232	0.166774052
233	0.1656132306
234	0.1647505861
235	0.1641355208
236	0.1631229825
237	0.1624162644
238	0.1613273134
239	0.1603740776
240	0.1594642086
241	0.1587843374
242	0.1580591088
243	0.1571176679
244	0.1564503603
245	0.1558077572
246	0.1553291296
247	0.1546520479
248	0.1535504077
